,name,rating,
102,Susann Maharjan,5 stars,Sunrise S.A.S Futsal
103,laxman danuwar,4 stars,Sunrise S.A.S Futsal
104,anup adhikari,4 stars,Sunrise S.A.S Futsal
105,Dinesh Astani,5 stars,Sunrise S.A.S Futsal
106,Rahul Awasthi,2 stars,Sunrise S.A.S Futsal
107,Dennis Lama,3 stars,Sunrise S.A.S Futsal
108,Roshan Neupane,4 stars,Sunrise S.A.S Futsal
109,Gyalesh Maharjan,4 stars,Sunrise S.A.S Futsal
110,Arbind Yadav,5 stars,Sunrise S.A.S Futsal
111,Sadik “Magic Mandy” Bhattarai,5 stars,Sunrise S.A.S Futsal
112,Chiran Kc,5 stars,Sunrise S.A.S Futsal
113,B.B Gyawali,2 stars,Sunrise S.A.S Futsal
114,Nikesh Maharjan,2 stars,Sunrise S.A.S Futsal
115,Dinesh bhujel,3 stars,Sunrise S.A.S Futsal
116,Bipul Bastola,3 stars,Sunrise S.A.S Futsal
117,Sabin Gole,3 stars,Sunrise S.A.S Futsal
118,Bipin Maharjan,5 stars,Sunrise S.A.S Futsal
119,srijan bajracharya,5 stars,Sunrise S.A.S Futsal
120,Puspa Bhattrai,5 stars,Sunrise S.A.S Futsal
121,Ajavind Shrestha,5 stars,Sunrise S.A.S Futsal
122,Sudarshan tamang,5 stars,Sunrise S.A.S Futsal
123,Rabin Bhandari,3 stars,Sunrise S.A.S Futsal
124,sojit apagain,1 star,Sunrise S.A.S Futsal
125,umesh paudel,3 stars,Sunrise S.A.S Futsal
126,Fizan Magar,5 stars,Sunrise S.A.S Futsal
127,Daniel Adhikari,4 stars,Sunrise S.A.S Futsal
128,Pranish Maharjan,4 stars,Sunrise S.A.S Futsal
129,Maaju Sntos,4 stars,Sunrise S.A.S Futsal
130,Karan Kumar,4 stars,Sunrise S.A.S Futsal
131,Pragun Bajracharya,3 stars,Sunrise S.A.S Futsal
132,Ramesh Magar,4 stars,Sunrise S.A.S Futsal
133,Buddha Lama,4 stars,Sunrise S.A.S Futsal
134,Ritesh Shrestha,3 stars,Sunrise S.A.S Futsal
135,aman lama,4 stars,Sunrise S.A.S Futsal
136,Aashish Giri,5 stars,Sunrise S.A.S Futsal
137,Na Ran,4 stars,Sunrise S.A.S Futsal
138,Shirisha Shrestha,3 stars,Sunrise S.A.S Futsal
139,Ashish Shrestha,3 stars,Sunrise S.A.S Futsal
140,Durga B Sunchiuri,4 stars,Sunrise S.A.S Futsal
141,Subhash Tharu,5 stars,Sunrise S.A.S Futsal
142,Avinash Gyavali,4 stars,Sunrise S.A.S Futsal
143,Nischal Kunwar,5 stars,Sunrise S.A.S Futsal
144,Stellar Oid,3 stars,Sunrise S.A.S Futsal
145,Akash Shrestha,3 stars,Sunrise S.A.S Futsal
146,Sameer Maharjan,4 stars,Sunrise S.A.S Futsal
147,Prayash Khadka,3 stars,Sunrise S.A.S Futsal
148,Rakesh Khadgi,3 stars,Sunrise S.A.S Futsal
149,Ujjwal Rana Magar,3 stars,Sunrise S.A.S Futsal
150,Shreejan Shrestha,5 stars,Sunrise S.A.S Futsal
151,Rabin shahi,3 stars,Sunrise S.A.S Futsal
152,Mohamad Ashish,4 stars,Sunrise S.A.S Futsal
153,Sukraj Shrestha,4 stars,Sunrise S.A.S Futsal
154,Manish,4 stars,Sunrise S.A.S Futsal
155,Arzun Nemcool,4 stars,Sunrise S.A.S Futsal
156,Naresh Maharjan,5 stars,Sunrise S.A.S Futsal
157,Rajeev Shakya,5 stars,Sunrise S.A.S Futsal
158,Alvis learning to play Games,4 stars,Sunrise S.A.S Futsal
159,Nikesh Tandukar,3 stars,Sunrise S.A.S Futsal
160,dipesh maharjan,5 stars,Sunrise S.A.S Futsal
161,Som Kumar Rajbanshi,5 stars,Sunrise S.A.S Futsal
162,HBC Production,1 star,Sunrise S.A.S Futsal
163,Sagar Tamang,2 stars,Sunrise S.A.S Futsal
164,Suraj Bhattarai,5 stars,Sunrise S.A.S Futsal
