,name,rating,
126,GRAND WEEBO,3 stars,X-cel Futsal
127,Schuraj Suraj,3 stars,X-cel Futsal
128,Raazu Thapa,4 stars,X-cel Futsal
129,Laxman Jung Khadka,5 stars,X-cel Futsal
130,sagar kc,4 stars,X-cel Futsal
131,Tejshree Basnet,5 stars,X-cel Futsal
132,NBT Thapa,4 stars,X-cel Futsal
133,Prashant Paudel,3 stars,X-cel Futsal
134,Neeraj K,4 stars,X-cel Futsal
135,Samir Danuwar,3 stars,X-cel Futsal
136,Tirtha Jung,4 stars,X-cel Futsal
137,Alter Ego,4 stars,X-cel Futsal
138,Banid Prajapati,5 stars,X-cel Futsal
139,Sanjay Hona (sssanjaya),2 stars,X-cel Futsal
140,alisha shakya,4 stars,X-cel Futsal
141,Sadaiba Acharya,5 stars,X-cel Futsal
142,kamal bhatta,4 stars,X-cel Futsal
143,Pramod Maharjan,3 stars,X-cel Futsal
144,Yanish Maharjan,4 stars,X-cel Futsal
145,Bhushan Shrestha,4 stars,X-cel Futsal
146,Ajay Chaudhary,5 stars,X-cel Futsal
147,Anjali Shrestha,1 star,X-cel Futsal
148,Niraj Shrestha,4 stars,X-cel Futsal
149,Pramesh Vaidya,3 stars,X-cel Futsal
150,Apil Subedi,2 stars,X-cel Futsal
151,Mridul KC,4 stars,X-cel Futsal
152,Sandip Bhattarai,4 stars,X-cel Futsal
153,Bhavesh Lakoul,2 stars,X-cel Futsal
154,Upset Sawin,5 stars,X-cel Futsal
155,Gineez Sarkar,5 stars,X-cel Futsal
156,Rohit Dhimal,4 stars,X-cel Futsal
157,suraj dahal,3 stars,X-cel Futsal
158,Manish Ranjitkar,2 stars,X-cel Futsal
159,pravin ghimire,2 stars,X-cel Futsal
160,Hyper,4 stars,X-cel Futsal
161,Mihang Limbu,2 stars,X-cel Futsal
162,Reshav Tamang,3 stars,X-cel Futsal
163,shirish shrestha,4 stars,X-cel Futsal
164,Santoshi Shrestha,5 stars,X-cel Futsal
165,nabin shrestha,2 stars,X-cel Futsal
166,rajan maharjan,4 stars,X-cel Futsal
167,jaN,4 stars,X-cel Futsal
168,Pemba Sherpa,5 stars,X-cel Futsal
169,Shreyash Paudyal,4 stars,X-cel Futsal
170,Subha Rai,4 stars,X-cel Futsal
171,Dinesh Shrestha,5 stars,X-cel Futsal
172,Sujan koirala,5 stars,X-cel Futsal
173,Dipesh,5 stars,X-cel Futsal
174,Dipesh Pradhan,4 stars,X-cel Futsal
175,Kashish Dahal,3 stars,X-cel Futsal
176,Sngit Rawal,4 stars,X-cel Futsal
177,Riwaj Dahal,5 stars,X-cel Futsal
178,GaminGHousENepaL,4 stars,X-cel Futsal
179,Aakash Bhusal,5 stars,X-cel Futsal
180,Suyog Maskey,5 stars,X-cel Futsal
181,Dailo Arts दैलो आर्टस्,5 stars,X-cel Futsal
182,Samir Samba,3 stars,X-cel Futsal
183,Srijay Bhandari,5 stars,X-cel Futsal
184,Manij Rai,4 stars,X-cel Futsal
185,Sanjeev Moktan,2 stars,X-cel Futsal
186,Anish Mainalee,4 stars,X-cel Futsal
187,Yubaraj Singh,4 stars,X-cel Futsal
188,MaanEesh YT,3 stars,X-cel Futsal
189,Bhim Shrestha,2 stars,X-cel Futsal
190,Suraj Bikram Karki,5 stars,X-cel Futsal
191,Sanish Shakya,4 stars,X-cel Futsal
192,pujan aryal,2 stars,X-cel Futsal
193,Soman Sharma,1 star,X-cel Futsal
194,bikram joshi,4 stars,X-cel Futsal
195,Rikesh Tamang,4 stars,X-cel Futsal
196,Saurav Shrestha,3 stars,X-cel Futsal
197,Dixita Vaidya,5 stars,X-cel Futsal
198,Binod Barai,4 stars,X-cel Futsal
199,VISION CONCERN,5 stars,X-cel Futsal
200,NITESH TODI,5 stars,X-cel Futsal
201,Bishal khadgi,4 stars,X-cel Futsal
202,Manoj Thapa,4 stars,X-cel Futsal
203,puru bhtyy,5 stars,X-cel Futsal
204,Kishor Maharjan,3 stars,X-cel Futsal
205,Tekraj Acharya,5 stars,X-cel Futsal
206,Roshan Khadka,4 stars,X-cel Futsal
207,Sanjay Shrestha,3 stars,X-cel Futsal
208,Sidhanta Shrestha,2 stars,X-cel Futsal
209,Santosh Jung Shahi,4 stars,X-cel Futsal
210,sailesh pyakurel,3 stars,X-cel Futsal
211,Kabita Tamrakar,4 stars,X-cel Futsal
212,ANISH KUMAR THAKUR SHARMA,3 stars,X-cel Futsal
213,Eliz Achhami,3 stars,X-cel Futsal
214,Madhav Rawat,3 stars,X-cel Futsal
215,Shree Krishna Prajapati,3 stars,X-cel Futsal
216,bhuwan maharjan,2 stars,X-cel Futsal
217,Siddhi Kiran Bajracharya,4 stars,X-cel Futsal
218,shivom yadav,5 stars,X-cel Futsal
219,Siddhartha Budhathoki,4 stars,X-cel Futsal
220,kriti thapa,4 stars,X-cel Futsal
221,Manish Maharjan,2 stars,X-cel Futsal
222,Vivek Dhital,2 stars,X-cel Futsal
223,Nischit raj pandey,5 stars,X-cel Futsal
224,Avishekh Shrestha,4 stars,X-cel Futsal
225,Bishal Tiwari,5 stars,X-cel Futsal
226,Tamang Vlog_Riasha.,3 stars,X-cel Futsal
227,Pradip Rijal,4 stars,X-cel Futsal
228,Sunil Thapa,3 stars,X-cel Futsal
229,Pushp Raj Sharma Binadi,4 stars,X-cel Futsal
230,Shaurya Deuja,3 stars,X-cel Futsal
231,REY Sushant Budathoki,4 stars,X-cel Futsal
232,Miraj Adhikari,4 stars,X-cel Futsal
233,Deepak Kumar Wagle,3 stars,X-cel Futsal
234,anjan poudel,2 stars,X-cel Futsal
235,yozak shiwakoti,4 stars,X-cel Futsal
236,ram khatiwada,2 stars,X-cel Futsal
237,Anish Raj Bajracharya,2 stars,X-cel Futsal
238,Aishwarya. Shrestha,3 stars,X-cel Futsal
239,Raju Lamichhane,2 stars,X-cel Futsal
240,Rohit Maharjan,4 stars,X-cel Futsal
241,Palden Tamang,5 stars,X-cel Futsal
242,Dharamraj Koyu Rai,3 stars,X-cel Futsal
243,Suman Regmi,2 stars,X-cel Futsal
244,Mr.Raja Ansari,5 stars,X-cel Futsal
245,Samit Shrestha,3 stars,X-cel Futsal
246,Avant Shrestha,3 stars,X-cel Futsal
247,Manish Manandhar,3 stars,X-cel Futsal
248,sanjiv jaiswal,5 stars,X-cel Futsal
249,Shanta Raam Thapa,4 stars,X-cel Futsal
250,Rajat Kayastha,3 stars,X-cel Futsal
251,Asish Shakya,5 stars,X-cel Futsal
252,whathepunk!!!,2 stars,X-cel Futsal
253,Bijay Shrestha,3 stars,X-cel Futsal
254,Ayush Poudel,5 stars,X-cel Futsal
255,Rabin Shrestha,4 stars,X-cel Futsal
256,Chocolate Wafer,3 stars,X-cel Futsal
257,Roshan Bc,5 stars,X-cel Futsal
258,Shiva Gaire,5 stars,X-cel Futsal
259,Hayburn Seether,5 stars,X-cel Futsal
260,Sudeep Adhikari,4 stars,X-cel Futsal
261,Vaskar Adhikari,3 stars,X-cel Futsal
262,Prateek Bikram Rana,3 stars,X-cel Futsal
263,Ridhesh Shrestha,5 stars,X-cel Futsal
264,Sachin Newa,4 stars,X-cel Futsal
265,Anjali Shrestha,5 stars,X-cel Futsal
266,Gautam Abhash,3 stars,X-cel Futsal
267,Haseeb Ahmed,3 stars,X-cel Futsal
268,Balpi Pun,4 stars,X-cel Futsal
269,GAUCHAN Shaq,3 stars,X-cel Futsal
270,Dilasha Shrestha,4 stars,X-cel Futsal
271,Puncoz Nepal,5 stars,X-cel Futsal
272,Rohan K.c,5 stars,X-cel Futsal
273,shishir khanal,4 stars,X-cel Futsal
274,Saurabh Manandhar,3 stars,X-cel Futsal
275,Ankit Joshi,2 stars,X-cel Futsal
276,k 5,4 stars,X-cel Futsal
277,girish rai,3 stars,X-cel Futsal
278,Aashish Subedi,4 stars,X-cel Futsal
279,Robin Paudel,3 stars,X-cel Futsal
280,Sujit Luintel,3 stars,X-cel Futsal
281,Anuj Joshi,5 stars,X-cel Futsal
282,nivesh pant,3 stars,X-cel Futsal
283,Bimal lama,2 stars,X-cel Futsal
284,Sailen Shakya,4 stars,X-cel Futsal
285,iamprajwol,4 stars,X-cel Futsal
286,Sanjeet Tiwari,1 star,X-cel Futsal
287,Bikram Bishankhay,5 stars,X-cel Futsal
288,Suvanga Subedi,5 stars,X-cel Futsal
289,utsav basyal,5 stars,X-cel Futsal
290,Attire Nepal,5 stars,X-cel Futsal
291,Mangesh Debb Pande,5 stars,X-cel Futsal
292,Pr7 stha,4 stars,X-cel Futsal
293,basanta pandey,3 stars,X-cel Futsal
294,Pranit Kushwaha,4 stars,X-cel Futsal
295,Upadesh Yadav,5 stars,X-cel Futsal
296,Prajit Sharma,5 stars,X-cel Futsal
297,yubraj Bhusal,4 stars,X-cel Futsal
298,Yashashwa Basnyat,5 stars,X-cel Futsal
299,Alabhya Dahal,3 stars,X-cel Futsal
300,Biswash Hamal,2 stars,X-cel Futsal
301,Subin Shrestha,4 stars,X-cel Futsal
302,Raju Bhatta,5 stars,X-cel Futsal
303,Gahan k c.,5 stars,X-cel Futsal
304,Srijan Rajbhandari,5 stars,X-cel Futsal
305,Raunak Bikram,5 stars,X-cel Futsal
306,Sunny Shrestha,3 stars,X-cel Futsal
307,rukesh machamasi (MACHA),2 stars,X-cel Futsal
308,Rubek Joshi,3 stars,X-cel Futsal
309,Pragya Subedi,4 stars,X-cel Futsal
310,Bijendra Shah,4 stars,X-cel Futsal
311,Naam Choryo,3 stars,X-cel Futsal
312,Mukesh Maharjan,4 stars,X-cel Futsal
313,Ashish Poudel,2 stars,X-cel Futsal
314,Govardhan Joshi,2 stars,X-cel Futsal
315,Rachhak Shahu,4 stars,X-cel Futsal
316,Prabin Aidi,4 stars,X-cel Futsal
317,Rumus Bajracharya,4 stars,X-cel Futsal
318,Avash Pandit,4 stars,X-cel Futsal
319,jung vidip,4 stars,X-cel Futsal
320,Ronis Giri,5 stars,X-cel Futsal
321,GOKUL PRASAD Sharma bajagain,5 stars,X-cel Futsal
322,Razzu Giri,4 stars,X-cel Futsal
323,Ashish Poudel,4 stars,X-cel Futsal
324,Niraj Basnet,4 stars,X-cel Futsal
325,mohan singh,4 stars,X-cel Futsal
326,Aashutosh Acharya,5 stars,X-cel Futsal
327,Sachindra Dhungana,1 star,X-cel Futsal
328,sanjok raee,5 stars,X-cel Futsal
329,Kiran Chand,4 stars,X-cel Futsal
330,shaily tamrakar,3 stars,X-cel Futsal
331,Manchester,3 stars,X-cel Futsal
332,pragati parajuli,5 stars,X-cel Futsal
333,Ayush Raj Gyawali,3 stars,X-cel Futsal
334,Pratik Raj Mishra,5 stars,X-cel Futsal
335,Bibhatsu Thapa,3 stars,X-cel Futsal
336,Rishi Shrestha,3 stars,X-cel Futsal
337,Manish Thapa,4 stars,X-cel Futsal
338,Sailesh Yogi,5 stars,X-cel Futsal
339,Saurav Shrestha,3 stars,X-cel Futsal
340,aajeel joshi,3 stars,X-cel Futsal
341,Chandra Thapa magar,1 star,X-cel Futsal
342,Sanish Maharjan,5 stars,X-cel Futsal
343,Hemant Acharya,5 stars,X-cel Futsal
344,Saharsha Pradhanang,4 stars,X-cel Futsal
345,Prabesh Shankar Giri,4 stars,X-cel Futsal
346,Riwaz Shrestha,2 stars,X-cel Futsal
347,Lyfe Memory,3 stars,X-cel Futsal
348,Asbin Maharjan,4 stars,X-cel Futsal
349,Harry Goyal,5 stars,X-cel Futsal
350,Ravi Sunar,3 stars,X-cel Futsal
351,Kshitiz Khanal,4 stars,X-cel Futsal
352,sanit Kumar Agwl,3 stars,X-cel Futsal
353,Nawadeep Adhikari,4 stars,X-cel Futsal
354,Amir Hamja khan,4 stars,X-cel Futsal
355,Dinesh Maharjan,3 stars,X-cel Futsal
356,Ayush Pokhrel,1 star,X-cel Futsal
357,Prashant Shrestha,4 stars,X-cel Futsal
358,Yugesh nakarmi,5 stars,X-cel Futsal
359,ऋमश:,3 stars,X-cel Futsal
360,Ashish Tuladhar,5 stars,X-cel Futsal
361,Amar Pokhrel,3 stars,X-cel Futsal
362,Prajesh Regmi,4 stars,X-cel Futsal
363,Shashin Manandhar,4 stars,X-cel Futsal
364,Pravinda Ranjit,2 stars,X-cel Futsal
365,Sandeep gurung,5 stars,X-cel Futsal
366,Aditya Bastola,5 stars,X-cel Futsal
367,Aphens Budhathoki,4 stars,X-cel Futsal
368,Prabigya Thapa,4 stars,X-cel Futsal
369,Rikesh Saukota,5 stars,X-cel Futsal
370,prasiddha bhattarai,5 stars,X-cel Futsal
371,Raju Tuladhar,4 stars,X-cel Futsal
372,Ashish Rai,5 stars,X-cel Futsal
373,Prajwal Chetri,5 stars,X-cel Futsal
374,Suraj Nair,4 stars,X-cel Futsal
375,Pawan Goel,5 stars,X-cel Futsal
376,Don Adam Ketagoda,4 stars,X-cel Futsal
377,Sabin Rana,3 stars,X-cel Futsal
378,Taraman Syangtan,3 stars,X-cel Futsal
379,Rachhek Shrestha,3 stars,X-cel Futsal
380,Shuvashish Shrestha,4 stars,X-cel Futsal
381,Deependra Tandukar,5 stars,X-cel Futsal
382,Aashish karki,4 stars,X-cel Futsal
383,uzwal ratna,3 stars,X-cel Futsal
384,Jyoti Dhakal,4 stars,X-cel Futsal
385,samagya gautam,3 stars,X-cel Futsal
386,Udaya Panday,5 stars,X-cel Futsal
387,Tseten Tsatultsang,4 stars,X-cel Futsal
388,Bibek Karki,4 stars,X-cel Futsal
389,krytagya,4 stars,X-cel Futsal
390,Padam Shahi,3 stars,X-cel Futsal
391,Praful Srezta,4 stars,X-cel Futsal
392,Jeewan Shrestha,2 stars,X-cel Futsal
393,shuvam shrestha,5 stars,X-cel Futsal
394,Shrijesh Acharya,4 stars,X-cel Futsal
395,amrit karmacharya,3 stars,X-cel Futsal
396,Bir Lama,3 stars,X-cel Futsal
397,sekh arshad,4 stars,X-cel Futsal
398,Killer Afsar,4 stars,X-cel Futsal
399,Rohan Maharjan,3 stars,X-cel Futsal
400,raunak b,4 stars,X-cel Futsal
401,Kiran Khanal,5 stars,X-cel Futsal
402,Samrat Koirala,3 stars,X-cel Futsal
403,Rishav Jain,4 stars,X-cel Futsal
404,Rabbiin paudel,5 stars,X-cel Futsal
405,Suraj Raut,3 stars,X-cel Futsal
406,Ashish Thapa,4 stars,X-cel Futsal
407,Rojan Sinha,3 stars,X-cel Futsal
408,Akiti Sresta,4 stars,X-cel Futsal
409,Suyog Mainali,5 stars,X-cel Futsal
410,Ronak Electrical Solution Task,5 stars,X-cel Futsal
411,Saurav khan,3 stars,X-cel Futsal
412,Pritijan Maharjan,4 stars,X-cel Futsal
413,Pushkar Acharya,4 stars,X-cel Futsal
414,Lets Go,3 stars,X-cel Futsal
415,Ekansh Kunwar,5 stars,X-cel Futsal
416,Lok Raj Dhakal,3 stars,X-cel Futsal
417,Prakash Maharjan,5 stars,X-cel Futsal
418,Tsering Sidar,3 stars,X-cel Futsal
419,Swarup Dhungana,3 stars,X-cel Futsal
420,Ayog Basnyat,4 stars,X-cel Futsal
421,Reekesh Byanjankar,3 stars,X-cel Futsal
422,Stellar Oid,3 stars,X-cel Futsal
423,ujjwal gajurel,3 stars,X-cel Futsal
424,Aabhushan Raj Shahi,3 stars,X-cel Futsal
425,Aman Gautam (Easy),5 stars,X-cel Futsal
426,Anoop Moktan,2 stars,X-cel Futsal
427,Bishesh Shrestha,3 stars,X-cel Futsal
428,Prasanna Gurung,4 stars,X-cel Futsal
429,Prabin Rajbhandari,3 stars,X-cel Futsal
430,Subeen Gurung,5 stars,X-cel Futsal
431,Ashchin,4 stars,X-cel Futsal
432,Samip Shrestha,5 stars,X-cel Futsal
433,Shweta Bhatta,3 stars,X-cel Futsal
434,Santosh Adhikari,4 stars,X-cel Futsal
435,Prashant Ranjitkar,3 stars,X-cel Futsal
