,name,rating,
97,Jayaram Ghimire,5 stars,Balchhi Dhurbe Futsal
98,Its Aayush,5 stars,Balchhi Dhurbe Futsal
99,Monika Neupane,3 stars,Balchhi Dhurbe Futsal
100,Aman Poddar,4 stars,Balchhi Dhurbe Futsal
101,Bom Gurung,5 stars,Balchhi Dhurbe Futsal
102,Pradip Burlakoti,5 stars,Balchhi Dhurbe Futsal
103,Bikram Gurung,3 stars,Balchhi Dhurbe Futsal
104,Diwakar Adhikari,5 stars,Balchhi Dhurbe Futsal
105,Pankaj Pokharel,5 stars,Balchhi Dhurbe Futsal
106,Pratik Karki,4 stars,Balchhi Dhurbe Futsal
107,Sujan Kaji,3 stars,Balchhi Dhurbe Futsal
108,Santosh Sharma,4 stars,Balchhi Dhurbe Futsal
109,shikhar chhatkuli,5 stars,Balchhi Dhurbe Futsal
110,Dilip Kumar Yadav,4 stars,Balchhi Dhurbe Futsal
111,Nir mal,3 stars,Balchhi Dhurbe Futsal
112,Gyalzen Hyolmo,5 stars,Balchhi Dhurbe Futsal
113,Meelan Tamang,5 stars,Balchhi Dhurbe Futsal
114,Hussain Uddin,3 stars,Balchhi Dhurbe Futsal
115,tyson pun,5 stars,Balchhi Dhurbe Futsal
116,Gobinda raj “Pandeyg” Pandey,1 star,Balchhi Dhurbe Futsal
117,Loknath Kunwar,4 stars,Balchhi Dhurbe Futsal
118,Narendra Bhatta,1 star,Balchhi Dhurbe Futsal
119,prakanda dawadi,5 stars,Balchhi Dhurbe Futsal
120,Ashesh Lal Shrestha,4 stars,Balchhi Dhurbe Futsal
121,Sudeep Bastakoti,5 stars,Balchhi Dhurbe Futsal
122,Sudip Dhakal,1 star,Balchhi Dhurbe Futsal
123,Rames Pandit,3 stars,Balchhi Dhurbe Futsal
124,Kushal Shrestha,3 stars,Balchhi Dhurbe Futsal
125,Aashish Rai,5 stars,Balchhi Dhurbe Futsal
126,T2W・GenZi,5 stars,Balchhi Dhurbe Futsal
127,Bimal Sharma,5 stars,Balchhi Dhurbe Futsal
128,Jaleshwor Paudel,3 stars,Balchhi Dhurbe Futsal
129,Prashanta Daku,3 stars,Balchhi Dhurbe Futsal
130,Anil Ghimire,4 stars,Balchhi Dhurbe Futsal
131,Prashant Neupane,4 stars,Balchhi Dhurbe Futsal
132,Yours Truly Sakushal,3 stars,Balchhi Dhurbe Futsal
133,Sujan Shrestha,4 stars,Balchhi Dhurbe Futsal
134,Ajay Wonta,3 stars,Balchhi Dhurbe Futsal
135,Preju Khanal,3 stars,Balchhi Dhurbe Futsal
136,Kamal Paudel,4 stars,Balchhi Dhurbe Futsal
137,aayush kunwar,5 stars,Balchhi Dhurbe Futsal
138,Kailash Khatiwada,5 stars,Balchhi Dhurbe Futsal
139,Nabin Thapa,1 star,Balchhi Dhurbe Futsal
140,Kishor Dhakal,5 stars,Balchhi Dhurbe Futsal
141,Dikpal Kumar karki,5 stars,Balchhi Dhurbe Futsal
142,Diwas Dahal,4 stars,Balchhi Dhurbe Futsal
143,raj kumar swarnakar,5 stars,Balchhi Dhurbe Futsal
144,Aavimanyu Amgai,2 stars,Balchhi Dhurbe Futsal
145,Sandeep Budhathoki,5 stars,Balchhi Dhurbe Futsal
146,Amit,5 stars,Balchhi Dhurbe Futsal
147,Saroj Gajurel,4 stars,Balchhi Dhurbe Futsal
148,diwash bhattarai,4 stars,Balchhi Dhurbe Futsal
